Data type: genbank_genome; Columns: 9; Version: 1,,,,,,,,
staging_file_subdir_path,genome_name,source,release,genetic_code,scientific_name,genome_type,generate_ids_if_needed,generate_missing_genes
GenBank File Path,Genome Object Name,Source,Release,Genetic Code,Scientific Name,Genome Type,Generate IDs if Needed,Generate Missing Genes
bakta/CAN_1_bin.148.gbff,CAN_1_bin.148_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_1_bin.174.gbff,CAN_1_bin.174_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_1_bin.177.gbff,CAN_1_bin.177_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_1_bin.180.gbff,CAN_1_bin.180_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_1_bin.195.gbff,CAN_1_bin.195_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_1_bin.2.gbff,CAN_1_bin.2_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_1_bin.210.gbff,CAN_1_bin.210_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_1_bin.48.gbff,CAN_1_bin.48_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_1_bin.5.gbff,CAN_1_bin.5_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_1_bin.77.gbff,CAN_1_bin.77_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_1_bin.84.gbff,CAN_1_bin.84_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_1_bin.98.gbff,CAN_1_bin.98_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_2_bin.125.gbff,CAN_2_bin.125_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_2_bin.151.gbff,CAN_2_bin.151_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_2_bin.159.gbff,CAN_2_bin.159_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_2_bin.173.gbff,CAN_2_bin.173_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_2_bin.176.gbff,CAN_2_bin.176_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_2_bin.23.gbff,CAN_2_bin.23_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_2_bin.6.gbff,CAN_2_bin.6_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_2_bin.66.gbff,CAN_2_bin.66_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_3_bin.10.gbff,CAN_3_bin.10_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_3_bin.124.gbff,CAN_3_bin.124_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_3_bin.13.gbff,CAN_3_bin.13_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_3_bin.203.gbff,CAN_3_bin.203_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_3_bin.205.gbff,CAN_3_bin.205_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_3_bin.208.gbff,CAN_3_bin.208_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_3_bin.216.gbff,CAN_3_bin.216_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_3_bin.221.gbff,CAN_3_bin.221_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_3_bin.227.gbff,CAN_3_bin.227_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_3_bin.43.gbff,CAN_3_bin.43_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.103.gbff,CAN_4_bin.103_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.107.gbff,CAN_4_bin.107_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.11.gbff,CAN_4_bin.11_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.112.gbff,CAN_4_bin.112_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.116.gbff,CAN_4_bin.116_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.142.gbff,CAN_4_bin.142_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.152.gbff,CAN_4_bin.152_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.154.gbff,CAN_4_bin.154_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.166.gbff,CAN_4_bin.166_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.195.gbff,CAN_4_bin.195_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.197.gbff,CAN_4_bin.197_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.208.gbff,CAN_4_bin.208_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.220.gbff,CAN_4_bin.220_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.225.gbff,CAN_4_bin.225_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.236.gbff,CAN_4_bin.236_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.238.gbff,CAN_4_bin.238_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.25.gbff,CAN_4_bin.25_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.35.gbff,CAN_4_bin.35_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.38.gbff,CAN_4_bin.38_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.44.gbff,CAN_4_bin.44_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.62.gbff,CAN_4_bin.62_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.64.gbff,CAN_4_bin.64_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.70.gbff,CAN_4_bin.70_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.72.gbff,CAN_4_bin.72_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.76.gbff,CAN_4_bin.76_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_4_bin.92.gbff,CAN_4_bin.92_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.1.gbff,CAN_5_bin.1_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.100.gbff,CAN_5_bin.100_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.106.gbff,CAN_5_bin.106_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.112.gbff,CAN_5_bin.112_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.145.gbff,CAN_5_bin.145_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.146.gbff,CAN_5_bin.146_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.147.gbff,CAN_5_bin.147_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.149.gbff,CAN_5_bin.149_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.150.gbff,CAN_5_bin.150_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.167.gbff,CAN_5_bin.167_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.169.gbff,CAN_5_bin.169_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.173.gbff,CAN_5_bin.173_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.177.gbff,CAN_5_bin.177_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.180.gbff,CAN_5_bin.180_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.2.gbff,CAN_5_bin.2_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.40.gbff,CAN_5_bin.40_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.52.gbff,CAN_5_bin.52_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.62.gbff,CAN_5_bin.62_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.70.gbff,CAN_5_bin.70_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.9.gbff,CAN_5_bin.9_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.90.gbff,CAN_5_bin.90_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/CAN_5_bin.97.gbff,CAN_5_bin.97_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.10.gbff,coasm_bin.10_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.103.gbff,coasm_bin.103_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.105.gbff,coasm_bin.105_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.108.gbff,coasm_bin.108_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.110.gbff,coasm_bin.110_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.112.gbff,coasm_bin.112_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.114.gbff,coasm_bin.114_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.115.gbff,coasm_bin.115_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.117.gbff,coasm_bin.117_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.118.gbff,coasm_bin.118_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.121.gbff,coasm_bin.121_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.125.gbff,coasm_bin.125_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.13.gbff,coasm_bin.13_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.131.gbff,coasm_bin.131_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.132.gbff,coasm_bin.132_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.133.gbff,coasm_bin.133_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.134.gbff,coasm_bin.134_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.135.gbff,coasm_bin.135_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.138.gbff,coasm_bin.138_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.139.gbff,coasm_bin.139_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.142.gbff,coasm_bin.142_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.147.gbff,coasm_bin.147_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.15.gbff,coasm_bin.15_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.150.gbff,coasm_bin.150_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.153.gbff,coasm_bin.153_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.156.gbff,coasm_bin.156_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.157.gbff,coasm_bin.157_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.161.gbff,coasm_bin.161_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.171.gbff,coasm_bin.171_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.178.gbff,coasm_bin.178_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.181.gbff,coasm_bin.181_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.183.gbff,coasm_bin.183_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.185.gbff,coasm_bin.185_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.188.gbff,coasm_bin.188_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.196.gbff,coasm_bin.196_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.2.gbff,coasm_bin.2_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.201.gbff,coasm_bin.201_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.202.gbff,coasm_bin.202_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.203.gbff,coasm_bin.203_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.206.gbff,coasm_bin.206_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.207.gbff,coasm_bin.207_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.208.gbff,coasm_bin.208_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.209.gbff,coasm_bin.209_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.213.gbff,coasm_bin.213_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.214.gbff,coasm_bin.214_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.215.gbff,coasm_bin.215_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.218.gbff,coasm_bin.218_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.219.gbff,coasm_bin.219_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.22.gbff,coasm_bin.22_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.221.gbff,coasm_bin.221_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.222.gbff,coasm_bin.222_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.223.gbff,coasm_bin.223_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.226.gbff,coasm_bin.226_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.231.gbff,coasm_bin.231_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.233.gbff,coasm_bin.233_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.237.gbff,coasm_bin.237_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.238.gbff,coasm_bin.238_bakta,Other,,11,unclassified bacterium,MAG,1,1
bakta/coasm_bin.24.gbff,coasm_bin.24_bakta,Other,,11,unclassified bacterium,MAG,1,1
