pathway,M1(n=16),M2(n=13),M3(n=11),M4(n=11),M5(n=6),M6(n=6),M7(n=6),M8(n=4),M9(n=2)
NOâ‚ƒâ†’NOâ‚‚ (nap/nar),0.2750,0.1692,0.1091,0.1818,0.0333,0.2000,0.4000,0.1500,0.0000
NOâ‚‚â†’NO (nir),0.3125,0.3077,0.3636,0.3182,0.5833,0.4167,0.5833,0.2500,0.2500
NOâ†’Nâ‚‚O (nor),0.3125,0.3462,0.3182,0.5909,0.5000,0.5000,0.3333,0.0000,0.0000
Nâ‚‚Oâ†’Nâ‚‚ (nos),0.3750,0.5385,0.3636,0.7273,0.6667,0.6667,0.6667,0.2500,0.5000
DNRA,0.3438,0.2885,0.0909,0.2273,0.2917,0.3750,0.3333,0.0625,0.2500
PolyP,0.3958,0.4615,0.4242,0.5455,0.5000,0.5000,0.6667,0.1667,0.1667
Phosphate,0.7891,0.7692,0.8182,0.6932,0.8542,0.6667,0.9583,0.3125,0.1875
PHA,0.6094,0.3654,0.7500,0.5682,0.5417,0.4583,0.7500,0.2500,0.2500
Glycogen,0.5625,0.4769,0.4000,0.4000,0.6000,0.5000,0.6333,0.2000,0.2000
Acetate,0.5000,0.3590,0.4545,0.4848,0.6111,0.4444,0.5556,0.0833,0.1667
Propionate/PHV,0.3875,0.3385,0.2909,0.4182,0.3333,0.3333,0.4000,0.1500,0.1000
